Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Reason_for_cancelling_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating
07-02-2025,01:00:00,BK100000,Successful,CUST2000,Prime Sedan,Location 28,Location 46,8.8,10,0,,0,,0,,220.28,17,4.7,4.2
03-02-2025,06:00:00,BK100001,Successful,CUST2001,Mini,Location 33,Location 16,8.4,11.1,0,,0,,0,,219.89,19.7,4.7,3.3
01-02-2025,14:00:00,BK100002,Successful,CUST2002,Auto,Location 41,Location 16,9.9,13.4,0,,0,,0,,307.04,22.7,3.6,4.2
25-02-2025,02:00:00,BK100003,Successful,CUST2003,Prime Sedan,Location 24,Location 33,4.8,14.8,0,,0,,0,,65.67,6.2,3.5,4.3
03-02-2025,23:00:00,BK100004,Incomplete,CUST2004,eBike,Location 18,Location 42,,,0,,0,,1,Other Issue,,,,
10-02-2025,07:00:00,BK100005,Successful,CUST2005,Mini,Location 38,Location 43,7.4,10.7,0,,0,,0,,217.68,17.1,3.5,3.7
03-02-2025,00:00:00,BK100006,Cancelled by Customer,CUST2006,Prime Plus,Location 34,Location 37,,,1,AC is not working,0,,0,,,,,
05-02-2025,17:00:00,BK100007,Successful,CUST2007,Bike,Location 28,Location 38,4,7.7,0,,0,,0,,53.14,5.6,3.3,4.5
04-02-2025,05:00:00,BK100008,Successful,CUST2008,Bike,Location 47,Location 1,2.2,8.9,0,,0,,0,,299.35,20,3.2,3.6
21-02-2025,11:00:00,BK100009,Successful,CUST2009,Bike,Location 19,Location 18,3.7,9.4,0,,0,,0,,284.04,19.2,4.1,4.1
25-02-2025,06:00:00,BK100010,Successful,CUST2010,Bike,Location 29,Location 41,7.3,8.7,0,,0,,0,,205.52,18.7,3.9,3.3
06-02-2025,02:00:00,BK100011,Successful,CUST2011,Prime Plus,Location 38,Location 15,9.6,11.5,0,,0,,0,,116.58,8.9,4.7,3
04-02-2025,11:00:00,BK100012,Successful,CUST2012,Auto,Location 46,Location 22,7.6,9.8,0,,0,,0,,71.26,6.7,4.2,3.4
20-02-2025,02:00:00,BK100013,Cancelled by Driver,CUST2013,Bike,Location 22,Location 25,,,0,,1,Customer related issue,0,,,,,
03-02-2025,13:00:00,BK100014,Successful,CUST2014,Mini,Location 13,Location 31,4.9,9.2,0,,0,,0,,203.39,21.5,3.5,3.7
19-02-2025,00:00:00,BK100015,Cancelled by Customer,CUST2015,Auto,Location 48,Location 48,,,1,Driver asked to cancel,0,,0,,,,,
25-02-2025,18:00:00,BK100016,Cancelled by Driver,CUST2016,Prime Plus,Location 7,Location 49,,,0,,1,Personal & Car related issues,0,,,,,
04-02-2025,19:00:00,BK100017,Successful,CUST2017,eBike,Location 26,Location 20,2.5,6.5,0,,0,,0,,63.94,7,4.5,3.7
13-02-2025,04:00:00,BK100018,Cancelled by Customer,CUST2018,Prime Sedan,Location 40,Location 26,,,1,AC is not working,0,,0,,,,,
18-02-2025,14:00:00,BK100019,Successful,CUST2019,Prime Sedan,Location 31,Location 4,7.4,5.9,0,,0,,0,,145.69,13.8,4.6,4.4
16-02-2025,23:00:00,BK100020,Successful,CUST2020,Bike,Location 13,Location 18,2.3,9.7,0,,0,,0,,130.9,16.2,3.5,3.3
13-02-2025,20:00:00,BK100021,Successful,CUST2021,eBike,Location 45,Location 14,7.1,10.4,0,,0,,0,,221.51,20.6,4.8,3.2
13-02-2025,15:00:00,BK100022,Cancelled by Driver,CUST2022,Mini,Location 48,Location 12,,,0,,1,The customer was coughing/sick,0,,,,,
06-02-2025,20:00:00,BK100023,Successful,CUST2023,eBike,Location 30,Location 22,4.3,6.7,0,,0,,0,,317.92,21.2,4.6,4.5
01-02-2025,06:00:00,BK100024,Successful,CUST2024,Prime Plus,Location 15,Location 26,5.1,10.1,0,,0,,0,,135.9,12.1,4.3,4.4
26-02-2025,03:00:00,BK100025,Cancelled by Driver,CUST2025,eBike,Location 39,Location 45,,,0,,1,Customer related issue,0,,,,,
16-02-2025,17:00:00,BK100026,Successful,CUST2026,Prime Sedan,Location 50,Location 7,5.9,6.7,0,,0,,0,,157.55,18.9,3.1,4.9
04-02-2025,09:00:00,BK100027,Successful,CUST2027,eBike,Location 25,Location 22,3.4,12.3,0,,0,,0,,211.04,14.4,4.5,5
20-02-2025,15:00:00,BK100028,Successful,CUST2028,Auto,Location 13,Location 45,2.9,8.3,0,,0,,0,,129.15,13,4.9,4.2
06-02-2025,09:00:00,BK100029,Successful,CUST2029,Prime Sedan,Location 26,Location 33,4.4,14.1,0,,0,,0,,103.08,7.1,4,3.2
17-02-2025,04:00:00,BK100030,Cancelled by Driver,CUST2030,Bike,Location 39,Location 44,,,0,,1,Customer related issue,0,,,,,
24-02-2025,11:00:00,BK100031,Successful,CUST2031,eBike,Location 25,Location 25,4.4,11,0,,0,,0,,229.99,19,4.5,4.5
24-02-2025,09:00:00,BK100032,Successful,CUST2032,Prime Plus,Location 45,Location 43,5.6,11.1,0,,0,,0,,71.31,8.6,4.1,4.3
16-02-2025,08:00:00,BK100033,Successful,CUST2033,Mini,Location 48,Location 4,8.6,8.8,0,,0,,0,,139.92,13,3.6,4.2
20-02-2025,22:00:00,BK100034,Successful,CUST2034,Mini,Location 20,Location 11,9.6,8.1,0,,0,,0,,154.08,16,3.3,4.7
16-02-2025,03:00:00,BK100035,Successful,CUST2035,eBike,Location 24,Location 35,4.7,6.4,0,,0,,0,,108.34,7.5,4.6,3
01-02-2025,20:00:00,BK100036,Successful,CUST2036,eBike,Location 37,Location 30,4.6,10,0,,0,,0,,239.31,24.6,4.6,3.8
24-02-2025,09:00:00,BK100037,Successful,CUST2037,Prime Plus,Location 22,Location 29,5.9,13.1,0,,0,,0,,294.29,21.8,3.5,3.1
03-02-2025,21:00:00,BK100038,Successful,CUST2038,Prime Plus,Location 12,Location 26,9.6,12.4,0,,0,,0,,111.55,11.6,3.2,4.1
14-02-2025,17:00:00,BK100039,Cancelled by Driver,CUST2039,eBike,Location 2,Location 34,,,0,,1,The customer was coughing/sick,0,,,,,
24-02-2025,19:00:00,BK100040,Successful,CUST2040,Auto,Location 32,Location 39,4.8,9.1,0,,0,,0,,264.78,19.7,4.6,3.6
04-02-2025,03:00:00,BK100041,Successful,CUST2041,Auto,Location 38,Location 7,8.4,5.4,0,,0,,0,,84.08,7.1,4.3,5
27-02-2025,06:00:00,BK100042,Cancelled by Customer,CUST2042,eBike,Location 43,Location 1,,,1,Driver asked to cancel,0,,0,,,,,
18-02-2025,00:00:00,BK100043,Successful,CUST2043,Prime Plus,Location 50,Location 49,3.5,5.2,0,,0,,0,,117.34,8.1,3.9,4.4
10-02-2025,18:00:00,BK100044,Cancelled by Customer,CUST2044,Prime Sedan,Location 12,Location 44,,,1,Change of plans,0,,0,,,,,
22-02-2025,12:00:00,BK100045,Successful,CUST2045,Bike,Location 35,Location 50,9.6,7.7,0,,0,,0,,29.28,3.5,4.2,4.3
26-02-2025,00:00:00,BK100046,Successful,CUST2046,Mini,Location 39,Location 35,4.7,10.8,0,,0,,0,,135.91,13.3,4.9,4.9
24-02-2025,07:00:00,BK100047,Cancelled by Customer,CUST2047,Mini,Location 45,Location 32,,,1,Driver is not moving towards pickup location,0,,0,,,,,
